scenario,replication,seed,n,tau,estimator,estimate,bias,success,error,n_total,n_treated,n_control,n_matched_treated,n_unique_matched_controls,uses_matching,estimand,covariates,uses_forbidden_variables,mean_match_distance,max_match_distance,share_treated_outside_common_support,warnings,model_formula,params_overridden,matching_options
A,0,20360501,500,2.0,psm,2.412620033969753,0.4126200339697532,True,,500,254,246,254.0,114.0,True,ATT,"x1,x2",False,0.0037571884660264005,0.07739487904303466,0.05511811023622047,,,False,{}
A,0,20360501,500,2.0,did,2.112506876951345,0.11250687695134509,True,,500,254,246,,,False,ATE/ATT under constant tau,,False,,,,,delta_y ~ treated,False,{}
A,0,20360501,500,2.0,did_with_covariates,2.087685692772251,0.08768569277225113,True,,500,254,246,,,False,ATE/ATT under constant tau,"x1,x2",False,,,,,delta_y ~ treated + x1 + x2,False,{}
A,0,20360501,500,2.0,psm_did,2.080650335459368,0.08065033545936817,True,,500,254,246,254.0,114.0,True,ATT,"x1,x2",False,0.0037571884660264005,0.07739487904303466,0.05511811023622047,,,False,{}
A,1,20360502,500,2.0,psm,2.2827183007191816,0.2827183007191816,True,,500,259,241,259.0,135.0,True,ATT,"x1,x2",False,0.001861291095243541,0.040439867394920115,0.007722007722007722,,,False,{}
A,1,20360502,500,2.0,did,1.9554620678596453,-0.04453793214035473,True,,500,259,241,,,False,ATE/ATT under constant tau,,False,,,,,delta_y ~ treated,False,{}
A,1,20360502,500,2.0,did_with_covariates,1.9133947080629552,-0.0866052919370448,True,,500,259,241,,,False,ATE/ATT under constant tau,"x1,x2",False,,,,,delta_y ~ treated + x1 + x2,False,{}
A,1,20360502,500,2.0,psm_did,1.7094767093408283,-0.2905232906591717,True,,500,259,241,259.0,135.0,True,ATT,"x1,x2",False,0.001861291095243541,0.040439867394920115,0.007722007722007722,,,False,{}
A,2,20360503,500,2.0,psm,2.6916602124355897,0.6916602124355897,True,,500,252,248,252.0,132.0,True,ATT,"x1,x2",False,0.002741267937209648,0.08611337205330427,0.03571428571428571,,,False,{}
A,2,20360503,500,2.0,did,2.1133912212457227,0.11339122124572265,True,,500,252,248,,,False,ATE/ATT under constant tau,,False,,,,,delta_y ~ treated,False,{}
A,2,20360503,500,2.0,did_with_covariates,2.1333776372953026,0.1333776372953026,True,,500,252,248,,,False,ATE/ATT under constant tau,"x1,x2",False,,,,,delta_y ~ treated + x1 + x2,False,{}
A,2,20360503,500,2.0,psm_did,2.2209334282317688,0.22093342823176876,True,,500,252,248,252.0,132.0,True,ATT,"x1,x2",False,0.002741267937209648,0.08611337205330427,0.03571428571428571,,,False,{}
A,3,20360504,500,2.0,psm,2.3234202988177186,0.3234202988177186,True,,500,252,248,252.0,121.0,True,ATT,"x1,x2",False,0.005146668835121689,0.06665948249476894,0.0,,,False,{}
