scenario,replication,seed,n,tau,estimator,estimate,bias,success,error,n_total,n_treated,n_control,n_matched_treated,n_unique_matched_controls,uses_matching,estimand,covariates,uses_forbidden_variables,mean_match_distance,max_match_distance,share_treated_outside_common_support,warnings,model_formula,params_overridden,matching_options
A,0,20360501,1000,2.0,psm,2.464658154925961,0.46465815492596096,True,,1000,515,485,515.0,231.0,True,ATT,"x1,x2",False,0.001320325509095746,0.022410475453210843,0.001941747572815534,,,False,{}
A,0,20360501,1000,2.0,did,1.9407639981370077,-0.05923600186299227,True,,1000,515,485,,,False,ATE/ATT under constant tau,,False,,,,,delta_y ~ treated,False,{}
A,0,20360501,1000,2.0,did_with_covariates,2.0064823402667247,0.006482340266724673,True,,1000,515,485,,,False,ATE/ATT under constant tau,"x1,x2",False,,,,,delta_y ~ treated + x1 + x2,False,{}
A,0,20360501,1000,2.0,psm_did,1.921125697751788,-0.0788743022482119,True,,1000,515,485,515.0,231.0,True,ATT,"x1,x2",False,0.001320325509095746,0.022410475453210843,0.001941747572815534,,,False,{}
A,1,20360502,1000,2.0,psm,2.3308306811565522,0.33083068115655223,True,,1000,529,471,529.0,232.0,True,ATT,"x1,x2",False,0.0015509617597988146,0.02790646494468385,0.013232514177693762,,,False,{}
A,1,20360502,1000,2.0,did,1.8820437882769923,-0.11795621172300774,True,,1000,529,471,,,False,ATE/ATT under constant tau,,False,,,,,delta_y ~ treated,False,{}
A,1,20360502,1000,2.0,did_with_covariates,1.9418426944597786,-0.05815730554022136,True,,1000,529,471,,,False,ATE/ATT under constant tau,"x1,x2",False,,,,,delta_y ~ treated + x1 + x2,False,{}
A,1,20360502,1000,2.0,psm_did,1.9388299303913166,-0.06117006960868343,True,,1000,529,471,529.0,232.0,True,ATT,"x1,x2",False,0.0015509617597988146,0.02790646494468385,0.013232514177693762,,,False,{}
A,2,20360503,1000,2.0,psm,2.4341417376330083,0.43414173763300834,True,,1000,469,531,469.0,250.0,True,ATT,"x1,x2",False,0.0015138406913374962,0.052864547484070656,0.017057569296375266,,,False,{}
A,2,20360503,1000,2.0,did,2.0035629101522945,0.003562910152294485,True,,1000,469,531,,,False,ATE/ATT under constant tau,,False,,,,,delta_y ~ treated,False,{}
A,2,20360503,1000,2.0,did_with_covariates,2.0375817235900286,0.03758172359002865,True,,1000,469,531,,,False,ATE/ATT under constant tau,"x1,x2",False,,,,,delta_y ~ treated + x1 + x2,False,{}
