scenario,estimator,n_replications_successful,n_replications_total,mean_estimate,bias,rmse,sd,mean_n_matched_treated,mean_n_unique_matched_controls,mean_share_treated_outside_common_support,failure_count,warning_count
A,did,20,20,2.0230623416847493,0.0230623416847493,0.09020323900610769,0.08947068160316908,,,,0,0
A,did_with_covariates,20,20,2.016379226916467,0.016379226916467093,0.10219392082744518,0.10349329182280882,,,,0,0
A,psm,20,20,2.5219849207830083,0.5219849207830083,0.5543747214776747,0.19156714993801705,251.2,118.9,0.028246681540199742,0,0
A,psm_did,20,20,2.023962946074636,0.023962946074636005,0.14108713731643518,0.14264921100957198,251.2,118.9,0.028246681540199742,0,0
B,did,20,20,2.5718831692670046,0.5718831692670046,0.5926035993454206,0.15936937124433725,,,,0,0
B,did_with_covariates,20,20,1.977599151640534,-0.022400848359465986,0.12867208799117422,0.12999881870226315,,,,0,0
B,psm,20,20,2.444538006124608,0.44453800612460803,0.4737168023171771,0.16793974454632118,248.05,120.0,0.02923442472575048,0,0
B,psm_did,20,20,1.955454730737299,-0.04454526926270108,0.1321637919187998,0.12766315414801674,248.05,120.0,0.02923442472575048,0,0
C,did,20,20,3.1872830859817673,1.1872830859817673,1.1989920256073785,0.17149728005114895,,,,0,0
C,did_with_covariates,20,20,2.692170375692793,0.6921703756927928,0.7152366784958677,0.18485749071307866,,,,0,0
C,psm,20,20,3.1449964054241235,1.1449964054241235,1.1667765100806586,0.23021878848251084,251.5,123.8,0.023694745092349777,0,0
C,psm_did,20,20,2.696284310590955,0.6962843105909551,0.7326811955202228,0.2339813152545158,251.5,123.8,0.023694745092349777,0,0
