scenario,estimator,n_replications_successful,n_replications_total,mean_estimate,bias,rmse,sd,mean_n_matched_treated,mean_n_unique_matched_controls,mean_share_treated_outside_common_support,failure_count,warning_count
A,did,500,500,1.9977315205101458,-0.0022684794898542027,0.08925879364468947,0.08931932673260193,,,,0,0
A,did_with_covariates,500,500,1.9956133917134697,-0.004386608286530258,0.09748993451343269,0.09748873322279202,,,,0,0
A,psm,500,500,2.4762576508793734,0.47625765087937344,0.4935870539739026,0.12977099387459143,499.66,240.864,0.015590620844323697,0,0
A,psm_did,500,500,1.9865377315671833,-0.013462268432816726,0.1339135829492843,0.1333686222683925,499.66,240.864,0.015590620844323697,0,0
B,did,500,500,2.601740403267735,0.6017404032677351,0.6109267135146284,0.1056516014205842,,,,0,0
B,did_with_covariates,500,500,1.9933226296101496,-0.00667737038985039,0.09735930159088509,0.09722732453489655,,,,0,0
B,psm,500,500,2.483190297927251,0.4831902979272509,0.5002337283978925,0.1295936265095425,500.074,240.18,0.015967415298440382,0,0
B,psm_did,500,500,1.9992485575428274,-0.0007514424571726241,0.13726740836515175,0.13740282313376656,500.074,240.18,0.015967415298440382,0,0
C,did,500,500,3.164148876653244,1.1641488766532442,1.1695084602163313,0.1119486332991986,,,,0,0
C,did_with_covariates,500,500,2.683327146855826,0.683327146855826,0.6921638190861157,0.11035905519657668,,,,0,0
C,psm,500,500,3.123426878411717,1.123426878411717,1.134435886956498,0.15781838854965477,499.41,246.82,0.014084197938232275,0,0
C,psm_did,500,500,2.6929998230176313,0.6929998230176313,0.7104659658823819,0.15672350969685708,499.41,246.82,0.014084197938232275,0,0
